,PaperName,Year,sources,place,authors,hyperlink,citationG,citationO,citationI
97,ObfusX: Routing Obfuscation with Explanatory Analysis of a Machine Learning Attack.,2021,ACM, Taiwan,"Wei Zeng, Azadeh Davoodi, Rasit Onur Topaloglu",https://doi.org/10.1145/3394885.3431600,4,0,0
98,Breaking Analog Biasing Locking Techniques via Re-Synthesis.,2021,ACM, Taiwan,"Julian Leonhard, Mohamed Elshamy, Marie-Minerve Louërat, Haralampos-G. D. Stratigopoulos",https://doi.org/10.1145/3394885.3431603,9,2,0
99,Energy and QoS-Aware Dynamic Reliability Management of IoT Edge Computing Systems.,2021,ACM, Taiwan,"Kazim Ergun, Raid Ayoub, Pietro Mercati, Dancheng Liu, Tajana Rosing",https://doi.org/10.1145/3394885.3431612,1,0,0
100,Light: A Scalable and Efficient Wavelength-Routed Optical Networks-On-Chip Topology.,2021,ACM, Taiwan,"Zhidan Zheng, Mengchu Li, Tsun-Ming Tseng, Ulf Schlichtmann",https://doi.org/10.1145/3394885.3431613,0,0,0
101,One-pass Synthesis for Field-coupled Nanocomputing Technologies.,2021,ACM, Taiwan,"Marcel Walter, Winston Haaswijk, Robert Wille, Frank Sill Torres, Rolf Drechsler",https://doi.org/10.1145/3394885.3431607,0,3,0
102,Real-Time Mobile Acceleration of DNNs: From Computer Vision to Medical Applications.,2021,ACM, Taiwan,"Hongjia Li, Geng Yuan, Wei Niu, Yuxuan Cai, Mengshu Sun, Zhengang Li, Bin Ren, Xue Lin, Yanzhi Wang",https://doi.org/10.1145/3394885.3431627,0,0,0
103,Dynamic Neural Network to Enable Run-Time Trade-off between Accuracy and Latency.,2021,ACM, Taiwan,"Li Yang, Deliang Fan",https://doi.org/10.1145/3394885.3431628,0,0,0
104,When Machine Learning Meets Quantum Computers: A Case Study.,2021,ACM, Taiwan,"Weiwen Jiang, Jinjun Xiong, Yiyu Shi",https://doi.org/10.1145/3394885.3431629,0,0,0
105,Improving Efficiency in Neural Network Accelerator using Operands Hamming Distance Optimization.,2021,ACM, Taiwan,"Meng Li, Yilei Li, Vikas Chandra",https://doi.org/10.1145/3394885.3446242,0,2,0
106,Lightweight Run-Time Working Memory Compression for Deployment of Deep Neural Networks on Resource-Constrained MCUs.,2021,ACM, Taiwan,"Zhepeng Wang, Yawen Wu, Zhenge Jia, Yiyu Shi, Jingtong Hu",https://doi.org/10.1145/3394885.3439194,0,2,0
107,EHDSktch: A Generic Low Power Architecture for Sketching in Energy Harvesting Devices.,2021,ACM, Taiwan,"Priyanka Singla, Chandran Goodchild, Smruti R. Sarangi",https://doi.org/10.1145/3394885.3431447,0,0,0
108,Energy-Aware Design Methodology for Myocardial Infarction Detection on Low-Power Wearable Devices.,2021,ACM, Taiwan,"Mohanad Odema, Nafiul Rashid, Mohammad Abdullah Al Faruque",https://doi.org/10.1145/3394885.3431513,0,5,0
109,Power-Efficient Layer Mapping for CNNs on Integrated CPU and GPU Platforms: A Case Study.,2021,ACM, Taiwan,"Tian Wang, Kun Cao, Junlong Zhou, Gongxuan Zhang, Xiji Wang",https://doi.org/10.1145/3394885.3431423,0,0,0
110,A Write-friendly Arithmetic Coding Scheme for Achieving Energy-Efficient Non-Volatile Memory Systems.,2021,ACM, Taiwan,"Yi-Shen Chen, Chun-Feng Wu, Yuan-Hao Chang, Tei-Wei Kuo",https://doi.org/10.1145/3394885.3431511,0,1,0
111,DP-Sim: A Full-stack Simulation Infrastructure for Digital Processing In-Memory Architectures.,2021,ACM, Taiwan,"Minxuan Zhou, Mohsen Imani, Yeseong Kim, Saransh Gupta, Tajana Rosing",https://doi.org/10.1145/3394885.3431525,0,0,0
